Date,Close/Last,Volume,Open,High,Low
01/08/2015,2055,1003,2021.2,2054.1,2020.8
01/07/2015,2019.6,998,1997.1,2021.4,1995.8
01/06/2015,1994.4,1370,2018.9,2022.4,1995.1
01/05/2015,2015.9,1206,2042.8,2048.1,2016.4
01/02/2015,2046.3,532,2057,2066.6,2047.6
01/01/2015,2052.4,N/A,2052.4,2052.4,2052.4
12/31/2014,2052.4,229,2077.9,2082.4,2052.2
12/30/2014,2076.7,611,2087.1,2087.6,2076.6
12/29/2014,2085.8,418,2084.8,2086.9,2077
12/26/2014,2084.2,88,2081.4,2085.6,2081.4
12/25/2014,2078.8,N/A,2078.8,2078.8,2078.8
12/24/2014,2078.8,144,2078.2,2082.3,2078.2
12/23/2014,2078.9,399,2072.9,2083.9,2071.5
12/22/2014,2072.4,388,2065.6,2075.1,2065.6
12/19/2014,2067.1,1186,2060.7,2072.2,2059.2
12/18/2014,2059.9,1422,2007.8,2062.4,2005
12/17/2014,2008.2,935,1968.9,2008.6,1967
12/16/2014,1983.2,108,1982.6,1985.8,1982.6
12/15/2014,1983.2,152,1982.6,1988.4,1982.6
12/12/2014,1990.4,945,2022.9,2024.1,1991.4
12/11/2014,2030.9,1661,2024.9,2036.1,2024.1
12/10/2014,2026.4,N/A,2026.4,2026.4,2026.4
12/09/2014,2057.5,1031,2061.1,2061.2,2038.8
12/08/2014,2059.4,322,2075.7,2077.1,2060.5
12/05/2014,2076.1,548,2071.6,2076.5,2068.9
12/04/2014,2071.9,557,2073,2075.5,2064.6
12/03/2014,2072.6,306,2066.4,2066.9,2063.5
12/02/2014,2065.9,685,2051.4,2066.7,2051.3
12/01/2014,2050.8,764,2051,2063.3,2050.8
11/28/2014,2066.3,1144,2072.2,2073.7,2066
